source_file,cq_file,source_qid,transformed_qid,subject,outline_code,answer_key,validation_status,load_status,quarantine_reason,stem_len,has_annotation,has_components,has_intel,has_case_study,generated_db_identifier
C:\FOC\Workspace\Finished\CQ14295.md,CQ14295.md,14295,14295_lampmakers_rule_review,CONSTITUTIONAL_LAW,43020200,C,NEEDS_HUMAN,quarantined,needs-human,1234,true,true,true,true,14295_lampmakers_rule_review
C:\FOC\Workspace\Finished\CQ14313.md,CQ14313.md,14313,14313_manna_hall_archive,CONSTITUTIONAL_LAW,41030200,B,NEEDS_HUMAN,quarantined,needs-human,623,true,true,true,true,14313_manna_hall_archive
C:\FOC\Workspace\Finished\CQ14354.md,CQ14354.md,14354,14354_safe_wells_prize,CONSTITUTIONAL_LAW,42010101,B,NEEDS_HUMAN,quarantined,needs-human,894,true,true,true,true,14354_safe_wells_prize
C:\FOC\Workspace\Finished\CQ14545.md,CQ14545.md,14545,,,,,,quarantined,BLOCK1_UNPARSEABLE; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence; not-sql-emitted,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14557.md,CQ14557.md,14557,,,,,,quarantined,NO_BLOCK1_YAML; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence; not-sql-emitted,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14578.md,CQ14578.md,14578,,,,,,quarantined,NO_BLOCK1_YAML; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence; not-sql-emitted,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14600.md,CQ14600.md,14600,14600_grubbs_parcel,CRIMINAL,75070200,B,PASS,quarantined,not-sql-emitted,1199,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14618.md,CQ14618.md,14618,,,,,,quarantined,NO_BLOCK1_YAML; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence; not-sql-emitted,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14621.md,CQ14621.md,14621,,,,,,quarantined,NO_BLOCK1_YAML; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence; not-sql-emitted,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14625.md,CQ14625.md,14625,14625_private_retreat_felony_murder,CRIMINAL,,A,PASS,quarantined,NO_CALL; missing-outline; not-sql-emitted,1080,true,true,true,false,
