source_file,cq_file,source_qid,transformed_qid,subject,outline_code,answer_key,validation_status,load_status,quarantine_reason,stem_len,has_annotation,has_components,has_intel,has_case_study,generated_db_identifier
C:\FOC\Workspace\Finished\CQ14226.md,CQ14226.md,14226,14226_corinth-wards,CONSTITUTIONAL_LAW,,C,PASS,quarantined,missing-outline,1131,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14441.md,CQ14441.md,14441,14441_naomi_scripture_workshop_commission,CONTRACTS,52040200,D,PASS,quarantined,tiny-stem,223,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14447.md,CQ14447.md,14447,14447_jericho_trumpet_deposit,CONTRACTS,,B,PASS,quarantined,missing-outline,694,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14468.md,CQ14468.md,14468,14468_waiver-of-notice-condition,CONTRACTS,56050604,B,PASS,quarantined,tiny-stem,235,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14492.md,CQ14492.md,14492,14492_psalm_lantern_kits,CONTRACTS,,B,,quarantined,missing-outline,601,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14506.md,CQ14506.md,14506,14506_lydia_rooftop_loft,CONTRACTS,,D,PASS,quarantined,missing-outline,807,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14510.md,CQ14510.md,14510,14510_ark_puppet_stage,CONTRACTS,,B,PASS,quarantined,missing-outline,634,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14512.md,CQ14512.md,14512,14512_used-boat-sale,CONTRACTS,54030800,C,PASS,quarantined,CHOICES=[],926,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14523.md,CQ14523.md,14523,14523_psalm_calligraphy_stipend,CONTRACTS,,C,PASS,quarantined,missing-outline,962,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14545.md,CQ14545.md,14545,,,,,,quarantined,BLOCK1_UNPARSEABLE; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14554.md,CQ14554.md,14554,14554_johns-hilltop,CRIMINAL,75070202,C,PASS,quarantined,tiny-stem,192,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14555.md,CQ14555.md,14555,14555_private_bookstore_plea,CRIMINAL,,C,PASS,quarantined,missing-outline,1040,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14557.md,CQ14557.md,14557,,,,,,quarantined,NO_BLOCK1_YAML; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14559.md,CQ14559.md,14559,14559_warrant-esther,CRIMINAL,75070202,A,PASS,quarantined,missing-c3-annotation; missing-components; missing-program-intelligence,7188,false,false,false,true,
C:\FOC\Workspace\Finished\CQ14578.md,CQ14578.md,14578,,,,,,quarantined,NO_BLOCK1_YAML; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14587.md,CQ14587.md,14587,14587_massiah-pretender,CRIMINAL,75090400,D,PASS,quarantined,CHOICES=[],701,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14591.md,CQ14591.md,14591,14591_toll-booth-fentanyl,CRIMPROC,75070100,B,PASS,quarantined,SUBJECT='CRIMPROC',984,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14595.md,CQ14595.md,14595,14595_daniel_riverside_cabin,CRIMINAL_LAW_AND_PROCEDURE,75070200,C,PASS,quarantined,SUBJECT='CRIMINAL_LAW_AND_PROCEDURE'; NO_STEM; tiny-stem,0,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14600.md,CQ14600.md,14600,14600_grubbs_parcel,CRIMINAL,75070200,B,PASS,quarantined,CHOICES=[],1199,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14609.md,CQ14609.md,14609,14609_festival_signal_stop,CRIMINAL,,C,PASS,quarantined,missing-outline,1199,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14610.md,CQ14610.md,14610,14610_timothy_grand_jury,CRIMINAL,,D,PASS,quarantined,missing-outline,829,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14616.md,CQ14616.md,14616,14616_good_shepherd_cyber_watch,CRIMINAL,,D,PASS,quarantined,missing-outline,1408,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14618.md,CQ14618.md,14618,,,,,,quarantined,NO_BLOCK1_YAML; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14619.md,CQ14619.md,14619,14619,CRIMINAL,,B,PASS,quarantined,missing-outline,1244,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14620.md,CQ14620.md,14620,14620,CRIMINAL,,C,PASS,quarantined,missing-outline,510,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14621.md,CQ14621.md,14621,,,,,,quarantined,NO_BLOCK1_YAML; missing-key; missing-outline; missing-c3-annotation; missing-components; missing-program-intelligence,,false,false,false,false,
C:\FOC\Workspace\Finished\CQ14625.md,CQ14625.md,14625,14625_private_retreat_felony_murder,CRIMINAL,,A,PASS,quarantined,NO_CALL; missing-outline,1080,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14627.md,CQ14627.md,14627,14627_galilee_honey_farm,CRIMINAL,,A,PASS,quarantined,missing-outline,1185,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14629.md,CQ14629.md,14629,14629_parent_room_confession,CRIMINAL,,D,PASS,quarantined,missing-outline,1319,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14630.md,CQ14630.md,14630,14630_fellowship_hall_white_powder,CRIMINAL,,D,PASS,quarantined,missing-outline,586,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14633.md,CQ14633.md,14633,14633_galilee_cafe,CRIMINAL,,A,PASS,quarantined,missing-outline,736,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14634.md,CQ14634.md,14634,14634_chapel_bookstore_grab,CRIMINAL,,B,PASS,quarantined,missing-outline; tiny-stem,121,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14635.md,CQ14635.md,14635,14635_barnabas_aspirin_capsule,CRIMINAL,,B,PASS,quarantined,missing-outline,571,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14636.md,CQ14636.md,14636,14636_bible_cafe_basement,CRIMINAL,,D,PASS,quarantined,missing-outline,581,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14637.md,CQ14637.md,14637,14637,CRIMINAL,,C,PASS,quarantined,missing-outline,917,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14638.md,CQ14638.md,14638,14638_galilee_garments,CRIMINAL,,D,PASS,quarantined,missing-outline,785,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14639.md,CQ14639.md,14639,14639_prayer_walk_self_defense,CRIMINAL,,A,PASS,quarantined,missing-outline,608,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14641.md,CQ14641.md,14641,14641,CRIMINAL,,D,FORK_OR_SPLIT,quarantined,missing-outline,858,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14642.md,CQ14642.md,14642,14642_good_samaritan_softball,CRIMINAL,74020101,A,PASS,quarantined,tiny-stem,172,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14643.md,CQ14643.md,14643,14643,CRIMINAL,,D,PASS,quarantined,missing-outline,697,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14644.md,CQ14644.md,14644,14644,CRIMINAL,,D,PASS,quarantined,missing-outline,821,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14645.md,CQ14645.md,14645,14645_advent_sidewalk,CRIMINAL,,B,PASS,quarantined,missing-outline,687,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14649.md,CQ14649.md,14649,,CRIMINAL,00000000,D,PASS,quarantined,NO_QID,677,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14650.md,CQ14650.md,14650,14650_fellowship_picnic,CRIMINAL,,B,PASS,quarantined,missing-outline,564,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14654.md,CQ14654.md,14654,14654_fellowship_trail,CRIMINAL,,B,PASS,quarantined,missing-outline,583,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14655.md,CQ14655.md,14655,14655_study_bible_case,CRIMINAL,,B,PASS,quarantined,missing-outline,387,true,true,true,true,
C:\FOC\Workspace\Finished\CQ14657.md,CQ14657.md,14657,14657_lampstand_window_volley,CRIMINAL,,B,PASS,quarantined,missing-outline,1017,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14658.md,CQ14658.md,14658,14658_christian_publishing,CRIMINAL,,A,PASS,quarantined,missing-outline,750,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14663.md,CQ14663.md,14663,14663_lydias_bookstore_warehouse,CRIMINAL,,A,PASS,quarantined,missing-outline,604,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14665.md,CQ14665.md,14665,14665_bible_study_stop_sign,CRIMINAL,,D,PASS,quarantined,missing-outline,526,true,true,true,false,
C:\FOC\Workspace\Finished\CQ14668.md,CQ14668.md,14668,14668_laxative-lies,CRIMINAL,74020101,C,PASS,quarantined,tiny-stem,194,true,true,true,true,
