"Name","DisplayName","State","StartMode","StartName","ProcessId","PathName"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Auto","LocalSystem","24832","C:\WINDOWS\system32\svchost.exe -k wsappx -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","LocalSystem","2136","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Running","Auto","NT AUTHORITY\LocalService","3276","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","3824","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","1776","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"camsvc","Capability Access Manager Service","Running","Auto","LocalSystem","6648","C:\WINDOWS\system32\svchost.exe -k osprivacy -p"
"cbdhsvc_9f735","Clipboard User Service_9f735","Running","Auto",,"8888","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPSvc","Connected Devices Platform Service","Running","Auto","NT AUTHORITY\LocalService","6316","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"CDPUserSvc_9f735","Connected Devices Platform User Service_9f735","Running","Auto",,"8024","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Auto","LocalSystem","4444","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","2084","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CoworkVMService","Claude","Running","Auto","LocalSystem","6740","""C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\resources\cowork-svc.exe"""
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Auto","LocalSystem","2340","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_92899f2b73e871b4\IntelCpHDCPSvc.exe"
"CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","4128","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","1776","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"DeviceAssociationService","Device Association Service","Running","Auto","LocalSystem","4160","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","3268","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DiagTrack","Connected User Experiences and Telemetry","Running","Auto","LocalSystem","4224","C:\WINDOWS\System32\svchost.exe -k utcsvc -p"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","NT AUTHORITY\LocalService","3768","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","2080","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DPS","Diagnostic Policy Service","Running","Auto","NT AUTHORITY\LocalService","4208","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"DusmSvc","Data Usage","Running","Auto","NT Authority\LocalService","3452","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc"
"EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","2772","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","2832","C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p"
"FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","2300","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"gpsvc","Group Policy Client","Running","Auto","LocalSystem","25780","C:\WINDOWS\system32\svchost.exe -k GPSvcGroup"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","LocalSystem","4192","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Auto","LocalSystem","15108","C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p"
"iphlpsvc","IP Helper","Running","Auto","LocalSystem","4364","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Auto","LocalSystem","4252","C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_af50fdb80983f7bc\jhi_service.exe"
"LanmanServer","Server","Running","Auto","LocalSystem","4796","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"LanmanWorkstation","Workstation","Running","Auto","NT AUTHORITY\NetworkService","3968","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"MDCoreSvc","Microsoft Defender Core Service","Running","Auto","LocalSystem","4288","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe"""
"mpssvc","Windows Defender Firewall","Running","Auto","NT Authority\LocalService","3824","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"nsi","Network Store Interface Service","Running","Auto","NT Authority\LocalService","2456","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"PcaSvc","Program Compatibility Assistant Service","Running","Auto","LocalSystem","6408","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"postgresql-x64-17","postgresql-x64-17 - PostgreSQL Server 17","Running","Auto","NT AUTHORITY\NetworkService","4312","""C:\Program Files\PostgreSQL\17\bin\pg_ctl.exe"" runservice -N ""postgresql-x64-17"" -D ""C:\Program Files\PostgreSQL\17\data"" -w"
"Power","Power","Running","Auto","LocalSystem","1776","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"ProfSvc","User Profile Service","Running","Auto","LocalSystem","2240","C:\WINDOWS\system32\svchost.exe -k UserProfileService -p"
"RaiDrive.Service","RaiDrive Filesystem Service","Running","Auto","LocalSystem","4200","""C:\Program Files\OpenBoxLab\RaiDrive\RaiDrive.Service.x64.exe"""
"RpcEptMapper","RPC Endpoint Mapper","Running","Auto","NT AUTHORITY\NetworkService","1900","C:\WINDOWS\system32\svchost.exe -k RPCSS -p"
"RpcSs","Remote Procedure Call (RPC)","Running","Auto","NT AUTHORITY\NetworkService","1900","C:\WINDOWS\system32\svchost.exe -k rpcss -p"
"SamSs","Security Accounts Manager","Running","Auto","LocalSystem","1636","C:\WINDOWS\system32\lsass.exe"
"Schedule","Task Scheduler","Running","Auto","LocalSystem","2168","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"SENS","System Event Notification Service","Running","Auto","LocalSystem","3012","C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p"
"ShellHWDetection","Shell Hardware Detection","Running","Auto","LocalSystem","3784","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Spooler","Print Spooler","Running","Auto","LocalSystem","3900","C:\WINDOWS\System32\spoolsv.exe"
"SQLWriter","SQL Server VSS Writer","Running","Auto","LocalSystem","4264","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"""
"StateRepository","State Repository Service","Running","Auto","LocalSystem","4148","C:\WINDOWS\system32\svchost.exe -k appmodel -p"
